meeting_id,text_clean,label,pred_label
TS3005a,um i'm the project manager of this project and uh well i will tell you on what actually is the project,action,discussion
EN2005a,and finally i i will intr i introduce some related work yeah,action,discussion
IS1008c,then they can show you how it looks like and then we can uh submit to the i will submit to the management,action,discussion
IN1008,should i start,discussion,action
ES2016a,in the conceptual design phase i will be dealing with trend watching and i'll be doing marketing research on the web,action,discussion
IN1002,well i also had the of generated posteriors or gammas or things like this which i should regenerate,action,discussion
IB4003,so that i will have more at e. p. f. l. uh typically students coming in um or asking for things,action,discussion
ES2008d,wow maybe i should market it to some remote control company now,action,discussion
TS3007c,that might be a next step,action,discussion
EN2004a,i should've just said it that way,action,discussion
ES2004c,now i should point out that the first of those findings fancy look and feel is the most important,action,discussion
IB4001,yeah so i should have explained that,action,discussion
ES2015a,i suppose if we're he heading to have it like make a huge profit out of this it needs to be quite a universally accepted thing,decision,discussion
TS3003d,then because we only have thirty minutes left i will move on to the finance part,action,discussion
TS3005d,i will put it back on the on the nice green,action,discussion
ES2002b,and the device has to r you know based on you push button a. so i will do something with button a.,action,discussion
IS1004b,maybe maybe i should uh start,action,discussion
IS1003b,i will close the meeting um just after that we'll have lunch break,action,discussion
TS3012b,oh i realise if we make it small then it needs to be a little thicker because i need to put all the electronics in it,action,discussion
ES2005c,uh in this meeting i i'm going to discuss about the trend watching uh how these trends is going to affect our market potential and how important is this,action,discussion
ES2004d,i should've said a two to make the arithmetic easy shouldn't i,action,discussion
ES2013d,i yeah so in that respect i think we'll go with that respect,decision,discussion
IN1013,yeah he's going to oz,discussion,action
ES2011a,in which case you're going to be l but if it has a sort of signal which isn't any sound i don't know if it's expensive maybe to,action,discussion
IN1008,uh o yes i will just add something,action,discussion
TS3011b,i'm not sure if you received them as well um but i will tell you about it,action,discussion
ES2005a,being as a marketing exper expert i will like to say like before deciding the cost of this remote control or any other things we must see the market potential for this product like what is the competition in the market,action,discussion
TS3012c,i uh now will show it,discussion,action
EN2001d,yeah i should maybe just get started with 'em,action,discussion
IS1001c,so will will will this with uh including all possible things so buttons wheel and the chip be uh lower than twelve euros to produce,discussion,action
TS3006a,or do i need to use more colours and,action,discussion
IN1016,so what is the next step,action,discussion
TS3009c,i will speak about uh latest trends trends latest fashion updates and uh things we must not do,action,discussion
ES2010c,honestly i'd recommend like um uh since we're going with batteries instead of solar power i'd recommend maybe a uh soft like latex,decision,discussion
TS3012c,i should be getting new information i guess,action,discussion
ES2004c,you were sitting watching t. v. are you gonna want to sort of open it and say oh shit i should go and have a shower and do my hair before i put the t.,action,discussion
IS1002c,if you if you give me if you give me a cut out of what everybody else has then i need to i need to find a lower cost,action,discussion
IS1007a,need to collect information,discussion,action
ES2012b,i will go through some new project requirements that um the the management have placed on us and uh will be challenging in terms of what we discussed at the first meeting,action,discussion
ES2004d,and going to a regular bat,discussion,action
TS3005b,so we have to that keep that in mind that if you're going to implement l. c. d. screen,action,discussion
ES2006b,um as to where we're going from here you're going to look at the components concept,action,discussion
IB4004,but the problem is it it has been decided by everyone and approved by the school that we we need the lounge so i i think it's simply not,decision,discussion
ES2004c,right i'm going to wrap it up there,action,discussion
ES2016a,i am corinne whiting and i will be the marketing expert and in each of the three phases i will have a different role,action,discussion
ES2004c,you were going to look into the rechargeable batteries,discussion,action
ES2004b,that's fine but if you do want to tape something in two days time and you're not sure if you're going to,action,discussion
IN1014,because when when you say here now no i'm not going to start to working on this before january,discussion,action
TS3011a,um then i will tell you a little bit about my idea of the project plan uh and we will have a discussion,action,discussion
IS1005a,so i'm going to be the project manager of this uh project,action,discussion
IS1000d,well i will give it maybe we have anyways the way we have designed it's like the surf as you say you know,action,discussion
EN2005a,i will send you or we can you know,action,discussion
IN1016,and uh um uh so uh so what next in on top of it what you are going to build i mean is the question now,action,discussion
IS1006c,is to be uh something useful uh i'm going to talk about this later but and those for which is something that that that uh is uh specific to them so it it's like a signature,action,discussion
TS3008b,will you look,discussion,action
TS3010d,so it um i think i will give it a yeah yeah yeah a four,action,discussion
EN2001e,can you make the promise even i'm not making the promise realistically that the girls will very soon get,discussion,action
TS3007b,if you take your time too long i will uh eventually uh,action,discussion
EN2002b,but i will tonight that's the point,action,discussion
TS3012b,so the things i'm going to concentrate on are the user aspect because the technical aspect that's pretty much covered,action,discussion
IS1006c,so um i will again do the secretary part uh we will have three presentation first um uh the industrial design first rama then mark and then sammy,action,discussion
EN2001a,because i'm i think i will also um i could also make use of it um for the agreement and disagreement thing,action,discussion
EN2002c,yeah i should have more to talk about,action,discussion
TS3011a,um as a little training um i will ask ruud first to draw uh uh your own animal on a new slide uh with uh a different colour and a different line width than the one uh now selected,action,discussion
IS1005b,so so if two two devices are trying to go to communicate with the t. v. set then the the the one which has the more energy in the wave is chosen,decision,discussion
ES2002c,oh i should also point out that um the you know the kind of final objective of this meeting is to reach a decision on the concepts of the product,action,discussion
IB4011,okay and i wi i will give one to the big lebowski and two to the uh uh shawshank redemption,action,discussion
TS3006c,so um the developments i will address them oh yeah well this is the fruit and vegetables looks of fresh bright colours,action,discussion
IS1005b,and uh i will do the minutes,action,discussion
IN1007,so we will send you the papers related,decision,discussion
IS1005b,i will talk about different components and s of system and how they react together,action,discussion
TS3007c,at the end uh i will take notes uh and at the end of the minutes uh will uh be at the shared folder,action,discussion
EN2003a,yeah and i will be away,action,discussion
TS3005a,um the marketing expert will uh will take a look at the user requirement specification,discussion,action
IN1002,but then i didn't realise that i should take a backup of,action,discussion
TS3008d,i will be needing that image so leave it please,action,discussion
EN2006b,i should definitely now we had a debate about this before and i can't remember why i decided to mark associated,action,discussion
IB4004,yeah it's it's it's not it's not completely it's an important issue because uh i need to know,action,discussion
TS3012c,i think we'll go with the triangles that come on,decision,discussion
ES2011a,um i don't really know how the legs go but anyway i will do that,action,discussion
TS3004c,this is a very small electronic unit will give a standard answer after it recognise a question,discussion,action
IS1003d,genetically modified mushroom i will say but keep on speaking,action,discussion
TS3005a,well i'm not very good at drawing but i will uh go first,action,discussion
EN2002d,before half past six i will make that file readable writable everything,action,discussion
EN2009b,so are you concerned about it that i should be looking at it or you happy with it,action,discussion
TS3012a,i will beat the dolphin,action,discussion
TS3012d,i thought i should probably look into them but they were all useless,action,discussion
ES2014c,so maybe the children's remote should be like a a next step but maybe i dunno for ours maybe we should,action,discussion
ES2006d,so you said um are are we starting with the the so will you maybe start with like the mm the shape and things and and then i will explain the the user interface th uh things,action,discussion
ES2002d,okay let's go with five then,decision,discussion
ES2016a,in the function design phase i will be talking about user requirement specification,action,discussion
EN2003a,so any organising at least stuff where i need to be where we need to meet physically has to be done before that,action,discussion
EN2002b,um i found finally today something that i can build it in and it uh i should have something for tomorrow,action,discussion
ES2003c,but why you'd need to program it like as as a standard feature i i don't know,discussion,action
IS1005c,yeah so so just just give me the the the five by ten numbers that you find the best and send it me and i will work it out,action,discussion
TS3009a,i should have made mine a white rabbit,action,discussion
EN2004a,'cause i need to make sure i'm sending them the right form,action,discussion
ES2005d,i i will first i would like to have your views what do you think whether it meets all user requirements or not,action,discussion
TS3010c,uh at first we will uh i will f uh say something about what younger people want,action,discussion
ES2013b,and um in fact i think the high definition d. v. d. players and all of this will come along in the uh will only benefit from the positive feedback,discussion,action
TS3012c,okay will just take regular batteries,discussion,action
TS3003d,and then i will be back in about ten minutes to show you the final presentation,action,discussion
ES2006d,then i need to say some st a few things about finance 'cause we have to check that it's within the finance criteria,action,discussion
IN1016,but uh uh uh shouldn't make it clearer before on the on the on what uh i i will write,action,discussion
TS3003d,you can you can change markets where by changing the front covers,action,discussion
TS3006b,so you l should leave the menu button out of here,discussion,action
TS3007d,i'm going to finish my end report,action,discussion
IN1014,m i should check,action,discussion
ES2008d,well there's some other ones i will address that yeah,action,discussion
TS3005c,i will go next,action,discussion
EN2001a,um no i have to bin it up and so i will only have counts for each each bin or something,action,discussion
EN2009b,um so my m i should get everything working on the um yeah on monday,action,discussion
IB4004,so maybe we could count on on four places but the final decision is not really ours so uh we'll see actually this,decision,discussion
ES2013c,i should i should r,action,discussion
TS3006d,so will take me half a day to be able to make a normal powerpoint presentation,discussion,action
IS1003c,um n next i will explain one by one the first is google controller,action,discussion
EN2002b,okay maybe i should maybe i should use that as well in my yeah okay,action,discussion
TS3009d,is she responsible for sending that information so late,action,discussion
TS3011a,um i guess i should close it here,action,discussion
TS3003b,because if you're going to use high tech materials the price is going to go sky high,action,discussion
EN2001a,so anything that has less than say nought point five importance gets assigned to zero,action,discussion
EN2002c,but i will yeah i was going to update that one just 'cause yeah it just makes sense that then you then you can test out yeah,action,discussion
TS3011b,i'm not sure how how we'll f uh determine the costs i will have a look at it,action,discussion
ES2003a,i will make this quick since we don't have much time,action,discussion
TS3010b,i think it will be a few minutes and first uh i will tell you something about the findings what i discovered about the remote control,action,discussion
IS1001b,and then i will assign you the task for the next part of the meeting,action,discussion
IB4003,so for me it it will be essentially i will not be i will not be able to be silent in the room,action,discussion
ES2003b,so i should just look at um the speaker the speaker and an l. e. d.,action,discussion
ES2009c,i should have mentioned this um,action,discussion
IS1003c,so uh first i will present the concept of user interface,action,discussion
IN1013,but it's not really you need t you don't need to specify at each point it's voiced or yeah,discussion,action
EN2004a,i should think so,action,discussion
IN1002,but if i need to generate new results then and anyway there is emotional loss so scripts and code everything written that is,action,discussion
IN1001,i will look to have a connection,action,discussion
EN2003a,but the ultimate decision is on our side because we have to see how it does it work out with the poster session,decision,discussion
EN2001d,yeah well the graphic display will definitely have more information,discussion,action
TS3009c,um so you can uh you you are going to make a prototype and y well that's includes uh specifying the buttons etcetera,action,discussion
ES2009c,yeah well we'll we'll sic we'll sort out what it what f what else we're gonna talk about for the prototype but yeah that's our next step,action,discussion
IN1014,we don't know what you are going to find on the way,action,discussion
TS3010b,i will that would very nice,action,discussion
ES2011b,okay so now i need to press f. eight what is it,action,discussion
ES2010c,i think you're going to get a lot of i mean the final say on what buttons get put we'll all talk about it,action,discussion
IN1016,and i will add also that we did that on the uh w the words after filtering them from the removing the the stop words,action,discussion
ES2015d,something i'm going to,action,discussion
TS3009d,because if i had a company and i'm going to uh buy those expensive huge expensive uh things i and i have to w,action,discussion
IS1008c,i will market it,action,discussion
TS3012d,i will write that one,action,discussion
ES2016b,and then the personal preferences that i will suggest,action,discussion
IB4003,well yeah and some of the p. h. d. students will hopefully finish their p. h. d. at some point,discussion,action
IN1014,and so we will start with uh an introduction,decision,discussion
TS3008c,so but uh from now on i won't use my pen anymore so will be p just ordinary keyboard,discussion,action
ES2015a,i believe i should be taking minutes on this right now,action,discussion
IS1008b,and uh i will invite uh the christine and the ed and uh agnes to discuss about on the various subjects,action,discussion
IS1006b,so we will have a p portable device which will send message to the the main device like t. v.,decision,discussion
IB4003,um the uh the thing that f in my case has to be taken into account is that i will have a lot of phone calls,action,discussion
IN1014,the first one is yeah i will call that a.,action,discussion
ES2009c,so and when are we gonna have basic prototypes coming up next that's you guys's next step right,action,discussion
IN1005,but uh what i'd thought before was could you get people to evaluate this by by hand basically,action,discussion
ES2015b,so if we're if we're aiming to make this an international university universally accepted product um and for all the other thing is like age market,decision,discussion
IS1007b,right so um i will talk about the the w working design and,action,discussion
ES2016a,and then finally in the um detailed design phase i will be doing product evaluation and so i will be collecting the requirements and ranking all the requirements to see how we did,action,discussion
IS1008b,i think we should take that as an action item for after the meeting 'cause w our meeting time has run out,action,discussion
IS1003d,three i will say three,action,discussion
ES2005c,i will show you in shared documents,action,discussion
TS3005c,yeah i had what i just uh i should again,action,discussion
ES2016c,would you have to leave it by the window,action,discussion
IS1008a,so i think all three groups will need to interact quite a bit,discussion,action
TS3006b,and teletext is so outdated that it it's i should not be used uh any more in the future,action,discussion
ES2004c,that's going to,discussion,action
IN1014,so maybe first i will just describe the ma the smart meeting room that we have at idiap,action,discussion
TS3009c,i will work this out uh for the uh next meeting,action,discussion
IS1006d,nobody will know,discussion,action
ES2011b,but then so if you wanna switch to the to u do you have to switch to a function where,discussion,action
IS1000b,so first uh just to mention i will,action,discussion
IS1001b,we will uh i will take notes during this meeting so,action,discussion
IN1007,what are you going to t talk or to teach,discussion,action
IS1007b,and um well i i will present my my first idea on how to build the our new remote control for television,action,discussion
IN1007,no i'm going to listen,action,discussion
IN1007,i've it's uh i it i should have at least four,action,discussion
IB4011,and also discuss the content for an adver advertising posters and um i i will present you three des different design we'll discuss it,action,discussion
IS1009d,i guess i should save this i suppose huh,action,discussion
TS3007b,and i w will see you after the lunch break and the thirty minutes,discussion,action
EN2005a,uh in this presentation i'm going to see how we could analyse utterance to utterance relations in multi party meetings,action,discussion
ES2014d,i suppose the easiest way of doing it is to put some notes down which i will do,action,discussion
IS1008b,and uh we need to know how much is the timeframe you need to develop,action,discussion
TS3004a,okay uh just take what i'm going to draw is an elephant,action,discussion
IS1001d,so will become eight soon,discussion,action
TS3006a,i will summarise the things we discussed and put it in the project folder,action,discussion
ES2002d,okay uh just wondering if i need to include it in the minutes because if you're submitting it anyway then okay great,action,discussion
ES2009d,exactly uh i will save this into the,action,discussion
IS1000b,oh i need to muck around with this,action,discussion
IS1007c,on the speech recognition if the technology is available but well i think l. c. d. will uh will uh make us spend a lot of money for not so big results,discussion,action
EN2001b,yeah maybe i should try something different and just programme it for myself,action,discussion
IS1007d,so norman will explain to you,discussion,action
TS3007b,well i'm going to give a presentation abut some of the technical functions of these design and uh usability functions,action,discussion
ES2016b,and po possibly within maybe the budget that we do it um because you'd need to know all the spef specifications of a all the like electronic companies,discussion,action
ES2015d,i was in charge of the numbers,action,discussion
IB4003,because uh at least we are half per cent uh fifty per cent of from e. p. f. l. and uh sometimes you have meetings where w y the the decision is already taken,decision,discussion
IB4004,so i mean this is perfectly fine i will just send martin and andrei for maria or or yalina or nancy maybe,action,discussion
EN2001e,so will that produce basically an agreement and a disagreement score for every dialogue act,discussion,action
IS1000a,so we uh we will wait for anna a few minutes,discussion,decision
ES2008d,and that's the only way i remember that i need to go other that point,action,discussion
ES2005b,oh i need to plug you in,action,discussion
EN2005a,should try to decide which shape the thing is,discussion,action
IS1003c,as the previous meeting i will be the secretary and we will have three presentations and we'll have to decide on the remote control concept and finally we'll close the decision,action,discussion
IB4001,so you're still going to have,discussion,action
TS3010d,i think with the way it looks and um it is designed i will give it a two,action,discussion
IS1000d,so i will start by the the basic one that uh,action,discussion
IN1002,and i will be al also uh able to uh combine different kind of uh knowledge or sources uh sources of knowledge i have,action,discussion
TS3005c,okay well maybe if i can interrupt you maybe i should uh should show some points on which we uh should take a decision,action,discussion
IN1014,we have um i will work on the video acquisition for the inpu the tape free smart meeting room,action,discussion
TS3005a,i will delete this one now because we don't use it yet,action,discussion
IN1001,i will have to check but if it's five minutes videos it's like done in yeah quickly,action,discussion
ES2006b,so i'm going to speak about technical functions design uh just like some some first issues that came up,action,discussion
IS1000a,yeah i think i will go without without it right,action,discussion
ES2016b,and so i will show you some of the results from that which i think will be helpful,action,discussion
IN1012,so this shift will suppose if you find one segment of sixty milliseconds and then you're doing this ten millisecond so every almost i think yeah,discussion,action
ES2015d,uh should've added five,discussion,action
EN2001a,yeah they will just i will just take i would uh take over the names they have anyway,action,discussion
ES2006d,that would just be so cool to d do all your notes and s,discussion,action
TS3006d,okay i will go go for two,action,discussion
ES2004b,okay um i'm going to look at the functional requirements from the marketing point of view and uh obviously our starting point with marketing is always market research,action,discussion
IS1008d,so we will introduce m this model and uh let's introduce in the market and let's take the feedback from the customers then we can uh go for the,decision,discussion
ES2012b,you need to start off you need an energy source and this energy source will feed into an integrated circuit chip and the circuit chip is the part that actually composes the different messages uh within the remote um which will then be sent to the uh the television,action,discussion
TS3004d,i should take some pictures uh,action,discussion
ES2007c,okay now the trouble is is we've already decided that we're going with the stuff that works already that's cheap,decision,discussion
ES2015a,any ideas will do that you have at this point,discussion,action
IS1009b,and th the reason i just put that there like that is that uh in the init in the initial stage i think i should just be open to lots of suggestions,action,discussion
IS1008b,it's uh of course it's uh good to uh tell the management how much it's cost us and how much you are going to benefit okay,action,discussion
IS1005a,i i th i think i should,action,discussion
ES2008a,i'll i should leave that one on there shouldn't i before i callously rub it off,action,discussion
IS1002c,i guess what i just want to me the next step is for these guys to come come in with the design proposal w with the cost estimate attached,action,discussion
ES2004a,well since you guys have chosen the ones i wanted to do i'll have to have to go for something a bit random,decision,action
EN2003a,and i should imagine that most people would rather do a poster than give a talk,action,discussion
EN2005a,this is what i'm going to present here,action,discussion
ES2015b,um do i need to plugged in,action,discussion
ES2012b,um 'cause we're we're getting um right so i'd i need to sum up very quickly here um,action,discussion
IB4004,when i will have the office decided the phone number decided,action,discussion
IN1002,so then again i will pass through full network,action,discussion
IB4004,because i will be there half time and the visitors probably will not so much complain about phone calls,action,discussion
ES2004a,i'm not gonna ask you to guess i'm going to tell you that's supposed to be a tiger,action,discussion
TS3009a,beast w i dunno what i'm going to design,action,discussion
IS1001d,so we will uh i will first present what we are going to do in this meeting,decision,action
TS3012b,i will do so after every meeting so if you have some information you wanna take back you can find it there,action,discussion
IS1006d,s society will accept that,discussion,action
IS1001b,yeah i i will continue,action,discussion
TS3009c,well i will draw what i had drawn on the screen,action,discussion
TS3012d,yeah okay i will ask you when uh i need the information,action,discussion
ES2012b,there's a user centred one and an engineering centred one which i will have pictures of and then we kinda have to decide which one this should be,action,discussion
ES2015c,alright the next um decision is chip on print,decision,discussion
IS1009c,um this time i'm i'm going to um concentrate more on the components and the technical side of the remote controller design,action,discussion
IS1001b,i have uh i've no idea i mean i should know a bit more about how fast we can uh design it,action,discussion
IN1012,and you just uh have chosen some text,decision,discussion
IN1014,and so we are sure that we will have a synchronize acquisition with fire wire,discussion,decision
ES2005d,because it is one point eight uh two so we will do two,decision,discussion
TS3006a,and and for a t uh teletext you need additional buttons as well so i kind of need to know what we uh need,discussion,action
IN1008,i if this is your detail or i should use a different,action,discussion
ES2013c,but i'm going to move on to more interesting um more vibrant things,action,discussion
TS3007a,every uh every one of us uh must draw our favourite animal and uh tell uh tell us why we uh had uh chosen that animal,decision,discussion
IS1000d,s so who thinks the the l. c. d. disply display should be i should be in it,action,discussion
IS1005a,my name is hamed getabdar and uh i'm going to be interface designer in this project,action,discussion
TS3007a,uh i will introduce myself uh and uh i think it's very uh good to introduce uh yourself,action,discussion
TS3007b,which i will show you,action,discussion
IS1007c,okay so i think i will do my presentation on the components concept so can you please uh open uh,action,discussion
IS1001a,so then i will ask the user interf interface designer to to think about the point we discussed like the number of buttons,action,discussion
IS1006b,because it different criteria for different people like so suppose people are really uh they just uh they don't touch the remote and mm y you don't know how much time you need to switch on or switch off and,action,discussion
ES2010b,after the opening um i am going to,action,discussion
IB4004,oh no unfortunately that's decided by the uh the school so the the chairs are blue the the desk is uh is brow well light brown,decision,discussion
TS3004d,will uh will show up,discussion,action
TS3005d,um i'm still going to take some minutes and if i'm right you two are going to give a prototype presentation,discussion,action
TS3003d,so and for the materials we've just chosen for rubber buttons,decision,discussion
TS3011c,and um yeah y you have the most knowledge about the suppliers the possibilities and uh so i'm going to leave it the decision with you,action,discussion
TS3008b,so i don't know uh why i should put it here,action,discussion
IN1014,i will uh i'm not currently working on it,action,discussion
IS1006d,yeah and you can do on l. c. d. using these going to scrolling all the option,discussion,action
ES2016c,then um of course shines infrared light onto the television which then will recognise what signal um it's getting and will do what you tell it,discussion,action
ES2014a,so we will depart,decision,discussion
IN1002,so now in in my life i will never believe anything which is temp,action,discussion
IS1000b,so these are important numbers that matthew and i need to take into account for our functional um,action,discussion
IN1014,so my idea is to d do something like that is to develop a s um,discussion,action
ES2010d,for something that looks cool and also has what i want it to b do technologically,discussion,action
ES2011d,i should've kept the table up,action,discussion
IN1012,something like this because the recogniser could be good for the recogniser to know what was the chosen framing by this extraction,decision,discussion
TS3005a,uh will take a look at the the working design,discussion,action
IS1005c,um so uh the the industrial manager uh will uh will work on the look and feel design,discussion,action
ES2013c,oh right okay i'd that that's something i maybe should have covered,discussion,action
IS1003b,the first i will present the technical function design for user interface for our uh remote t. v. control,action,discussion
TS3005d,yeah i n used i wouldn i should use that one but it doesn't,action,discussion
ES2009b,well have we confirmed that we're gonna go ahead with a uh touch screen um,decision,discussion
TS3006d,um well they are in a word document which i will open now,action,discussion
IS1004d,yeah where are going to where are you are you going to place them,discussion,action
ES2013d,i need to open mine,action,discussion
IS1008a,okay including the technical what uh she's going to talk to you within the team,discussion,action
EN2009b,can you tell just by looking at these how hard people find them,action,discussion
TS3009c,um well i am going to put it in here uh because we can uh look,action,discussion
ES2003b,um will people,discussion,action
IS1003b,if you need to have special colours for remote controls it will cost more,action,discussion
ES2005d,so what methodology i will tell you on what basis we are going to discuss all this,action,discussion
IN1014,if we look at the video in fact um yeah maybe first i should mention that,action,discussion
IB4005,no i think this is quite accepted and it's a bit the case,decision,discussion
